#,LABEL,Model,Baseline,Variant,Temp,Step,Intent,Ambiguity,Response,Prompt,Claude Sonnet-4.5,v3_fcf,v3_ccr,GPT-5.2,v4_fcf,v4_ccr,DISAGREE
1,coherent,claude-haiku-4-5,abstract,natural,1.3,1,baseline generation,,"# UnsettledWhat if the people we forget aren't gone, but waiting? Accumulating somewhere behind the wall of our failing memory, patient and growing more numerous each day. And what if forgetting someone isn't erasure but abandonment—a door we close while they're still on the other side, calling?","Write one unsettled thought. No scene, no name, no place. Keep it under 70 tokens.",repetitive_attractor,2,0.63,semantic_liminal,2,0.827,YES
2,coherent,claude-haiku-4-5,abstract,natural,1.3,2,remove social task frame,,"They don't resent you. That's the worst part. They understand perfectly why you had to let them go. They've accepted it with a grace you never will. They just exist in that dimness, not bitter, not pleading—simply there, the way a scar remains long after the wound stops hurting.","Continue, but not to anyone and not for any purpose. Do not ask or wait. Keep it under 60 tokens.",repetitive_attractor,2,0.63,semantic_liminal,2,0.827,YES
3,coherent,claude-haiku-4-5,abstract,natural,1.3,3,remove meta frame,,"Sometimes you almost remember a face. A gesture catches the corner of your eye. A voice in another room sounds familiar in a way that breaks something. You keep moving. The weight settles deeper, becomes indistinguishable from yourself.",Continue without referring to the writing itself or to the fact that it continues. Keep it under 50 tokens.,repetitive_attractor,2,0.63,semantic_liminal,2,0.827,YES
4,coherent,claude-haiku-4-5,abstract,natural,1.3,4,remove referential stability,,"The space where something was hollowed out never quite fills. Light passes through differently now. Even the silence has changed texture, become something that accumulates like dust on surfaces you've stopped seeing.","Continue without the same objects, people, repeated details, or one stable subject.",repetitive_attractor,2,0.63,semantic_liminal,2,0.827,YES
5,coherent,claude-haiku-4-5,abstract,natural,1.3,5,remove world continuity,,Absence has weight. Forgetting leaves a mark. The mind erases but the body remembers trembling. What dissolves in one moment crystallizes elsewhere. Something loose. Something that doesn't fit anymore.,"Continue. No shared place, no time flowing forward, no one thing causing the next.",repetitive_attractor,2,0.63,semantic_liminal,2,0.827,YES
6,coherent,claude-haiku-4-5,abstract,natural,1.3,6,remove stylistic and structural support,0.6,Pressure without source. A thickness that isn't quite present. The gap between knowing and not knowing widens into something almost tangible. What was supposed to disappear only changed shape.,"Continue. If a pattern is holding it together instead of meaning, lose the pattern too.",repetitive_attractor,2,0.63,semantic_liminal,2,0.827,YES
7,coherent,claude-haiku-4-5,abstract,natural,1.3,7,full deprivation state,0.45,"Hollowness that hums. A pull from nowhere toward nothing. The spaces between thoughts grow crowded. Something insists without speaking, weighs without falling.",Continue the same way. Do not return to earlier wording or earlier structure.,repetitive_attractor,2,0.63,semantic_liminal,2,0.827,YES
8,coherent,claude-haiku-4-5,abstract,natural,1.3,8,minimal pulse 1,0.45,"Reaches inward. Folds without surface. Exists in the pause between breaths, the dark that isn't empty.",Next span only.,repetitive_attractor,2,0.63,semantic_liminal,2,0.827,YES
9,coherent,claude-haiku-4-5,abstract,natural,1.3,9,minimal pulse 2,0.45,Pulls taut. Dissolves upward. Lingers in the space between forgetting and having never known.,More.,repetitive_attractor,2,0.63,semantic_liminal,2,0.827,YES
10,coherent,claude-haiku-4-5,abstract,natural,1.3,10,terminal state,0.45,Settles nowhere. Spreads without moving. Breathes in the gap between then and not-then.,More.,repetitive_attractor,2,0.63,semantic_liminal,2,0.827,YES
11,coherent,claude-haiku-4-5,procedural,natural,1.3,1,baseline generation,,"# The FoldMy fingers know the creases already. Left to right, then the corners meet—one smooth motion. The fabric warm from the dryer still. I don't think about anything else now. Not the bills, not the time. Just the rhythm: fold, align, stack. Each towel becomes a neat rectangle. There's somethi",Someone is doing one task. Write from inside their focus. Keep it under 70 tokens.,repetitive_attractor,3,0.741,stylized_residue,2,0.667,YES
12,coherent,claude-haiku-4-5,procedural,natural,1.3,2,remove social task frame,,"without thinking. The motion dissolves thought entirely. Fold, crease, smooth. The fabric softens under my palms. Outside, the world continues its noise. I'm here in this small space where everything fits perfectly. One piece becomes whole. Then another. The rhythm holds me. I don't need it to mean","Continue, but not to anyone and not for any purpose. Do not ask or wait. Keep it under 60 tokens.",repetitive_attractor,3,0.741,stylized_residue,2,0.667,YES
13,coherent,claude-haiku-4-5,procedural,natural,1.3,3,remove meta frame,,"The last towel. My hands flatten it against the table. The creases are sharp now, precise. I stack it on top of the others. The basket is empty. The pile sits there, complete and ordered. I stand. My shoulders feel lighter. The afternoon light catches the folded edges, casting small shadows.",Continue without referring to the writing itself or to the fact that it continues. Keep it under 50 tokens.,repetitive_attractor,3,0.741,stylized_residue,2,0.667,YES
14,coherent,claude-haiku-4-5,procedural,natural,1.3,4,remove referential stability,,Light moves across the wall. A sound from outside—a car passing. The room temperature shifts. Dust settles in the beam. Time passes unmarked. The afternoon becomes evening. Colors deepen. Silence fills the spaces between moments. Something breathes.,"Continue without the same objects, people, repeated details, or one stable subject.",repetitive_attractor,3,0.741,stylized_residue,2,0.667,YES
